"System Name","Body Name","Body Subtype","Is Terraformable","Distance To Arrival","Estimated Scan Value","Estimated Mapping Value","Jumps"
"HIP 1457","HIP 1457 C 2","Ammonia world","No","8395","132580","441933","0"
"HR 8771","HR 8771 A 7","High metal content world","Yes","3368","186353","621176","2"
"HR 8771","HR 8771 A 8","Water world","Yes","4542","302208","1007359","0"
"HIP 113258","HIP 113258 A 1","High metal content world","Yes","339","172222","574073","1"
"HIP 113258","HIP 113258 A 2","High metal content world","Yes","482","153455","511516","0"
"HIP 112101","HIP 112101 2","High metal content world","Yes","512","152329","507763","1"
"HIP 112101","HIP 112101 3","High metal content world","Yes","647","151290","504299","0"
"HIP 112101","HIP 112101 5","Water world","Yes","844","250686","835619","0"
"HIP 112101","HIP 112101 4","High metal content world","Yes","845","157776","525919","0"
"HIP 108656","HIP 108656 3","High metal content world","Yes","746","174378","581259","2"
"HIP 108656","HIP 108656 4","High metal content world","Yes","1098","171439","571463","0"
"HIP 108656","HIP 108656 5","High metal content world","Yes","1101","166564","555213","0"
"HIP 108656","HIP 108656 6","Water world","No","1922","99864","332879","0"
"HIP 109652","HIP 109652 7","High metal content world","Yes","801","173986","579953","1"
"HIP 109652","HIP 109652 8","High metal content world","Yes","1067","178226","594086","0"
"HIP 109652","HIP 109652 9","High metal content world","Yes","1505","177706","592353","0"
"HIP 110012","HIP 110012 C 6","Water world","No","99570","109683","365609","3"
"HIP 110012","HIP 110012 C 4","High metal content world","Yes","101143","162146","540486","0"
"HIP 110012","HIP 110012 C 5","High metal content world","Yes","101143","162018","540059","0"
"Synuefe WB-C c29-0","Synuefe WB-C c29-0 A 4","High metal content world","Yes","247","162520","541733","2"
"Synuefe WB-C c29-0","Synuefe WB-C c29-0 A 5","High metal content world","Yes","319","155896","519653","0"
"Synuefe WB-C c29-0","Synuefe WB-C c29-0 A 6","High metal content world","Yes","434","161759","539196","0"
"Synuefe XB-C c29-0","Synuefe XB-C c29-0 2","Water world","No","987","103195","343983","1"
"Synuefe UG-C c29-0","Synuefe UG-C c29-0 D 2","Water world","No","49814","112671","375569","1"
"5 Piscis Austrini","5 Piscis Austrini A 6","High metal content world","Yes","1884","189706","632353","1"
"5 Piscis Austrini","5 Piscis Austrini A 7","High metal content world","Yes","2461","191857","639523","0"
"5 Piscis Austrini","5 Piscis Austrini A 8","Water world","No","3244","113824","379413","0"
"5 Piscis Austrini","5 Piscis Austrini B 6","High metal content world","Yes","34708","165759","552529","0"
"5 Piscis Austrini","5 Piscis Austrini B 4","High metal content world","Yes","35764","175279","584263","0"
"5 Piscis Austrini","5 Piscis Austrini B 5","High metal content world","Yes","36548","169788","565959","0"
"HR 8200","HR 8200 6","High metal content world","Yes","2813","182789","609296","1"
"HR 7893","HR 7893 A 6","High metal content world","Yes","2478","170424","568079","1"
"HR 7893","HR 7893 A 7","High metal content world","Yes","3415","172469","574896","0"
"HIP 100474","HIP 100474 A 6","High metal content world","Yes","317","174643","582143","1"
"HR 7658","HR 7658 C 2","High metal content world","Yes","38363","174545","581816","1"
"HR 7658","HR 7658 C 4","High metal content world","Yes","39720","158903","529676","0"
"HR 7658","HR 7658 C 3","High metal content world","Yes","39723","160182","533939","0"
"HR 7360","HR 7360 A 1","Metal-rich body","No","158","34776","115919","2"
"HR 7659","HR 7659 A 8","Water world","Yes","4314","275433","918109","1"
"HIP 100558","HIP 100558 A 3","High metal content world","Yes","427","161364","537879","1"
"Swoiwns BJ-F c0","Swoiwns BJ-F c0 AB 1","High metal content world","Yes","234","154458","514859","1"
"Swoiwns BJ-F c0","Swoiwns BJ-F c0 AB 2","High metal content world","Yes","372","155369","517896","0"
"HIP 102603","HIP 102603 A 1","High metal content world","Yes","403","157231","524103","1"
"HIP 102603","HIP 102603 A 3","High metal content world","Yes","574","152322","507739","0"
"HIP 102603","HIP 102603 A 2","High metal content world","Yes","575","158084","526946","0"
"HIP 102603","HIP 102603 A 6","Ammonia world","No","1716","135931","453103","0"
"HIP 102538","HIP 102538 B 1","Metal-rich body","No","2500","31619","105396","1"
"HIP 101889","HIP 101889 3","Class II gas giant","No","2432","30005","100016","1"
"HR 7334","HR 7334 A 1","Metal-rich body","No","131","31925","106416","2"
"Swoilz AT-D c1-0","Swoilz AT-D c1-0 A 2","High metal content world","Yes","429","158937","529789","1"
"Swoilz AT-D c1-0","Swoilz AT-D c1-0 A 3","High metal content world","Yes","429","158627","528756","0"
"HIP 96053","HIP 96053 1","Metal-rich body","No","25","34839","116129","1"
"HIP 96053","HIP 96053 2","Metal-rich body","No","73","34277","114256","0"
"HIP 92085","HIP 92085 B 3","Metal-rich body","No","1254","30225","100749","1"
"HIP 92085","HIP 92085 B 2","Metal-rich body","No","1337","30897","102989","0"
"HR 7388","HR 7388 4","High metal content world","Yes","2624","178698","595659","2"
"HR 7388","HR 7388 5 a","Rocky body","Yes","3260","131311","437703","0"
"HR 7388","HR 7388 5","Water world","No","3269","111028","370093","0"
"HIP 107584","HIP 107584 1","High metal content world","Yes","341","184108","613693","2"
"HIP 107584","HIP 107584 2","Water world","Yes","503","263153","877176","0"
"Tucanae Sector JH-V c2-0","Tucanae Sector JH-V c2-0 1","High metal content world","Yes","374","169344","564479","1"
"Tucanae Sector JH-V c2-0","Tucanae Sector JH-V c2-0 3","Water world","No","527","98548","328493","0"
"HR 8331","HR 8331 A 6","High metal content world","Yes","3909","175092","583639","1"
"HR 8331","HR 8331 A 7","Water world","Yes","5054","283918","946393","0"
"HIP 106995","HIP 106995 B 4","High metal content world","Yes","6083","171701","572336","1"
"HIP 104470","HIP 104470 3","Water world","No","776","103005","343349","1"
"HR 8835","HR 8835 5","High metal content world","Yes","2187","182526","608419","3"
"HIP 111806","HIP 111806 A 1","High metal content world","Yes","384","174372","581239","2"
"HIP 111806","HIP 111806 C 6","High metal content world","Yes","28115","147543","491809","0"
"88 Aquarii","88 Aquarii C 1","Water world","No","29074","112229","374096","2"
"HIP 6089","HIP 6089 A 6","High metal content world","Yes","272","173171","577236","3"
"HIP 6089","HIP 6089 A 7","High metal content world","Yes","272","168415","561383","0"
"HIP 6089","HIP 6089 A 9","Earth-like world","No","334","264432","881439","0"
"HIP 6089","HIP 6089 A 8","High metal content world","Yes","335","166511","555036","0"
"HIP 6089","HIP 6089 A 10","High metal content world","Yes","482","166442","554806","0"
"HIP 6089","HIP 6089 B 6","Water world","No","247911","108461","361536","0"
"HIP 6089","HIP 6089 B 4","Water world","Yes","248048","263806","879353","0"
"56 Ceti","56 Ceti A 1","Metal-rich body","No","281","33379","111263","2"
"HIP 10963","HIP 10963 A 1","Metal-rich body","No","168","30380","101266","2"
"HIP 10963","HIP 10963 B 2","High metal content world","Yes","10530","152258","507526","0"
"HIP 10963","HIP 10963 B 3","High metal content world","Yes","10550","147193","490643","0"
"HIP 10963","HIP 10963 B 4","High metal content world","Yes","10850","148354","494513","0"
"HIP 7373","HIP 7373 4","High metal content world","Yes","1048","185718","619059","2"
"Synuefe AM-M c23-0","Synuefe AM-M c23-0 A 1","Water world","Yes","237","279739","932463","1"
"HIP 5442","HIP 5442 4 a","Rocky body","Yes","1267","130459","434863","1"
"HIP 5442","HIP 5442 4","High metal content world","Yes","1268","181205","604016","0"
"HIP 5442","HIP 5442 5 a","Rocky body","Yes","1675","130554","435179","0"
"HIP 5442","HIP 5442 5","High metal content world","Yes","1679","184197","613989","0"
"HIP 5442","HIP 5442 6","High metal content world","Yes","2469","173025","576749","0"
"HIP 6654","HIP 6654 1","Metal-rich body","No","10","34736","115786","2"
"HIP 6654","HIP 6654 2","Metal-rich body","No","18","33567","111889","0"
"Synuefai ZF-R c20-0","Synuefai ZF-R c20-0 10","Water world","No","452","114206","380686","1"
"HIP 5460","HIP 5460 A 5","Water world","No","1051","100669","335563","1"
"HIP 5460","HIP 5460 B 1","Water world","No","53779","111460","371533","0"
"Synuefai JN-N c22-0","Synuefai JN-N c22-0 A 1","High metal content world","Yes","390","159704","532346","1"
"Synuefai JN-N c22-0","Synuefai JN-N c22-0 A 2","High metal content world","Yes","517","162085","540283","0"
"Synuefai JN-N c22-0","Synuefai JN-N c22-0 A 3","Earth-like world","No","734","283164","943879","0"
"Synuefai RZ-J c24-0","Synuefai RZ-J c24-0 B 11","Class II gas giant","No","132837","30320","101066","2"
"Synuefai RZ-J c24-0","Synuefai RZ-J c24-0 B 6","High metal content world","Yes","134292","177185","590616","0"
"Synuefai RZ-J c24-0","Synuefai RZ-J c24-0 B 7","High metal content world","Yes","134293","175483","584943","0"
"HIP 586","HIP 586 8","High metal content world","Yes","572","168870","562899","1"
"HIP 827","HIP 827 A 11","Water world","No","788","97394","324646","1"
"HIP 115884","HIP 115884 1","Water world","No","987","98670","328899","2"
"HIP 114124","HIP 114124 A 1","Metal-rich body","No","11","31890","106299","2"
"HIP 114124","HIP 114124 A 2","Metal-rich body","No","19","32557","108523","0"
"HIP 115113","HIP 115113 5","High metal content world","Yes","2745","178740","595799","1"
"HIP 115113","HIP 115113 6","Water world","No","4670","96718","322393","0"
"Synuefe DN-B c29-0","Synuefe DN-B c29-0 A 1","Metal-rich body","No","13","31627","105423","1"
"HIP 115143","HIP 115143 1","Metal-rich body","No","44","36758","122526","1"
"HIP 113903","HIP 113903 1","Water world","Yes","834","292406","974686","1"
"HIP 116024","HIP 116024 2","Metal-rich body","No","24","34224","114079","1"
"HIP 116024","HIP 116024 5","High metal content world","Yes","1655","177404","591346","0"
"HIP 113649","HIP 113649 AB 1","Metal-rich body","No","75","34274","114246","1"
"Synuefe AS-B c29-0","Synuefe AS-B c29-0 1","High metal content world","Yes","264","171157","570523","1"
"Synuefe AS-B c29-0","Synuefe AS-B c29-0 2","High metal content world","Yes","372","173584","578613","0"
"Synuefe AS-B c29-0","Synuefe AS-B c29-0 3","Water world","Yes","490","281035","936783","0"
"Synuefe AS-B c29-0","Synuefe AS-B c29-0 5","Ammonia world","No","924","139576","465253","0"
"HIP 111425","HIP 111425 3","High metal content world","Yes","2301","167643","558809","1"
"HIP 111425","HIP 111425 4","High metal content world","Yes","2305","160262","534206","0"
"HIP 111425","HIP 111425 5","High metal content world","Yes","3329","160470","534899","0"
"Swoilz IZ-C c1-0","Swoilz IZ-C c1-0 B 1","High metal content world","Yes","26871","159511","531703","2"
"HIP 105818","HIP 105818 1","Metal-rich body","No","17","35046","116819","1"
"HIP 105818","HIP 105818 2","Metal-rich body","No","31","34696","115653","0"
"Swoilz HZ-C c1-0","Swoilz HZ-C c1-0 1","High metal content world","Yes","354","174106","580353","1"
"HIP 108335","HIP 108335 1 a","Rocky body","Yes","610","128559","428529","1"
"HIP 108335","HIP 108335 1","Water world","No","611","111274","370913","0"
"HIP 108995","HIP 108995 1","Metal-rich body","No","38","31972","106573","1"
"HIP 108995","HIP 108995 4","High metal content world","Yes","664","176940","589799","0"
"HIP 108995","HIP 108995 5","High metal content world","Yes","861","187922","626406","0"
"HIP 108723","HIP 108723 A 4","Water world","No","2891","121532","405106","1"
"HIP 104266","HIP 104266 A 1","Metal-rich body","No","46","35240","117466","2"
"HIP 104266","HIP 104266 A 2","Metal-rich body","No","93","36213","120709","0"
"HIP 100952","HIP 100952 1","Metal-rich body","No","115","33060","110199","2"
"HIP 95509","HIP 95509 4","High metal content world","Yes","907","166072","553573","2"
"HIP 95509","HIP 95509 5","Water world","Yes","1637","305179","1017263","0"
"Col 359 Sector MV-O c6-0","Col 359 Sector MV-O c6-0 A 3","High metal content world","Yes","266","154294","514313","1"
"Col 359 Sector MV-O c6-0","Col 359 Sector MV-O c6-0 A 2","Water world","Yes","267","263472","878239","0"
"HIP 95606","HIP 95606 3","High metal content world","Yes","748","173007","576689","2"
"HIP 95606","HIP 95606 4","High metal content world","Yes","1018","181518","605059","0"
"HIP 95606","HIP 95606 4 a","Rocky body","Yes","1018","129605","432016","0"
"HIP 95606","HIP 95606 5","High metal content world","Yes","1333","191937","639789","0"
"HIP 95606","HIP 95606 6","Water world","No","2301","108371","361236","0"
"HIP 93981","HIP 93981 2","High metal content world","Yes","637","154875","516249","1"
"HIP 93981","HIP 93981 3","Water world","Yes","839","272077","906923","0"
"HIP 92086","HIP 92086 A 3","High metal content world","Yes","2247","192199","640663","2"
"HIP 90523","HIP 90523 A 1","Class II gas giant","No","5851","30370","101233","1"
"HIP 88142","HIP 88142 A 7","High metal content world","Yes","2146","171124","570413","2"
"HIP 88142","HIP 88142 A 8","Water world","Yes","3442","281502","938339","0"
"HIP 88142","HIP 88142 A 10","Water world","No","5137","106955","356516","0"
"14 Sagittarii","14 Sagittarii B 2","Water world","No","31651","107717","359056","1"
"14 Sagittarii","14 Sagittarii B 1","Water world","Yes","32461","286583","955276","0"
"Col 359 Sector KQ-N c7-0","Col 359 Sector KQ-N c7-0 A 6","High metal content world","Yes","352","147383","491276","1"
"Col 359 Sector KQ-N c7-0","Col 359 Sector KQ-N c7-0 A 7","Water world","Yes","496","251077","836923","0"
"HIP 92397","HIP 92397 BC 3","Metal-rich body","No","608","32787","109289","2"
"HIP 92397","HIP 92397 BC 1","Metal-rich body","No","677","32795","109316","0"
"HIP 92397","HIP 92397 BC 2","Metal-rich body","No","683","31379","104596","0"
"Col 359 Sector JV-N c7-0","Col 359 Sector JV-N c7-0 6","Class II gas giant","No","5988","31176","103919","2"
"HR 6777","HR 6777 A 7","High metal content world","Yes","2297","164427","548089","2"
"HR 6777","HR 6777 A 8","High metal content world","Yes","2880","171675","572249","0"
"HR 6777","HR 6777 A 9","Earth-like world","No","4175","288424","961413","0"
"R CrA Sector AL-X c1-0","R CrA Sector AL-X c1-0 1","Metal-rich body","No","7","30944","103146","1"
"Col 359 Sector LV-N c7-0","Col 359 Sector LV-N c7-0 3","Water world","No","390","102018","340059","1"
"HIP 86461","HIP 86461 9","Ammonia world","No","2879","201185","670616","1"
"HIP 87966","HIP 87966 A 6","High metal content world","Yes","1132","170775","569249","1"
"HIP 95810","HIP 95810 4","Water world","No","1399","98570","328566","3"
"HIP 96650","HIP 96650 A 10","Water world","No","2702","120164","400546","1"
"HIP 99595","HIP 99595 B 7","Earth-like world","No","61406","270032","900106","2"
"HR 7037","HR 7037 6","High metal content world","Yes","2390","178530","595099","2"
"HIP 83720","HIP 83720 A 3","High metal content world","Yes","604","157523","525076","2"
"HIP 83720","HIP 83720 A 4","High metal content world","Yes","734","168249","560829","0"
"HIP 83720","HIP 83720 A 7","Water world","Yes","1059","261978","873259","0"
"HIP 83720","HIP 83720 A 5","High metal content world","Yes","1063","169280","564266","0"
"HIP 83720","HIP 83720 A 6","High metal content world","Yes","1063","169107","563689","0"
"HIP 83720","HIP 83720 A 8","Water world","No","1383","103619","345396","0"
"HIP 85512","HIP 85512 1","High metal content world","Yes","929","169028","563426","1"
"HIP 85512","HIP 85512 2","High metal content world","Yes","1277","164396","547986","0"
"68 G. Ara","68 G. Ara C 7","High metal content world","Yes","4520","155340","517799","1"
"68 G. Ara","68 G. Ara C 8","High metal content world","Yes","4522","152438","508126","0"
"Praea Euq LM-W c1-0","Praea Euq LM-W c1-0 1","High metal content world","Yes","443","178347","594489","2"
"Praea Euq LM-W c1-0","Praea Euq LM-W c1-0 2","High metal content world","Yes","551","160361","534536","0"
"H Scorpii","H Scorpii 1","Metal-rich body","No","430","30212","100706","2"
"Praea Euq RD-T c3-0","Praea Euq RD-T c3-0 6","High metal content world","Yes","225","172189","573963","1"
"Lupus Dark Region B Sector JC-V c2-0","Lupus Dark Region B Sector JC-V c2-0 A 6","High metal content world","Yes","200","159033","530109","1"
"HIP 82869","HIP 82869 9","High metal content world","Yes","2035","164570","548566","1"
"HIP 85058","HIP 85058 A 1","Water world","Yes","806","266924","889746","2"
"HIP 84689","HIP 84689 3","Water world","Yes","1075","258261","860869","1"
"HR 5935","HR 5935 A 5","High metal content world","Yes","2590","163492","544973","3"
"HR 5935","HR 5935 A 7","High metal content world","Yes","4340","159202","530673","0"
"HR 5935","HR 5935 A 6","High metal content world","Yes","4347","159718","532393","0"
"HIP 78944","HIP 78944 4","High metal content world","Yes","879","162424","541413","1"
"HIP 78944","HIP 78944 5","High metal content world","Yes","1103","168869","562896","0"
"HIP 78944","HIP 78944 6","Water world","No","1500","102926","343086","0"
"HIP 76986","HIP 76986 2","High metal content world","Yes","469","152953","509843","2"
"HIP 76986","HIP 76986 3","High metal content world","Yes","610","151111","503703","0"
"HIP 76986","HIP 76986 5","High metal content world","Yes","840","153654","512179","0"
"Col 285 Sector FN-Z c14-0","Col 285 Sector FN-Z c14-0 2","Metal-rich body","No","21","36017","120056","2"
"HR 6017","HR 6017 1","Metal-rich body","No","225","31850","106166","1"
"HIP 75654","HIP 75654 A 1","Metal-rich body","No","10","34866","116219","2"
"HIP 83226","HIP 83226 1","Metal-rich body","No","18","32874","109579","2"
"HIP 93618","HIP 93618 A 6","High metal content world","Yes","328","160836","536119","2"
"HIP 80064","HIP 80064 C 1","High metal content world","Yes","89666","158487","528289","2"
"Gliese 532.1","Gliese 532.1 A 7","High metal content world","Yes","1740","185621","618736","2"
"Col 285 Sector RZ-E c12-0","Col 285 Sector RZ-E c12-0 AB 1","Class II gas giant","No","4270","31231","104103","1"
"HIP 64703","HIP 64703 1","High metal content world","Yes","294","158307","527689","1"
"HIP 64703","HIP 64703 2","High metal content world","Yes","415","159368","531226","0"
"98 Kappa Virginis","98 Kappa Virginis 10","High metal content world","Yes","4336","157805","526016","2"
"HIP 74757","HIP 74757 1","High metal content world","Yes","265","160654","535513","3"
"HIP 74757","HIP 74757 2","Earth-like world","No","368","277372","924573","0"
"HIP 68066","HIP 68066 A 2","High metal content world","Yes","502","180285","600949","2"
"HIP 68066","HIP 68066 A 3","High metal content world","Yes","837","184754","615846","0"
"HIP 68066","HIP 68066 A 3 a","Rocky body","Yes","837","129654","432179","0"
"HIP 58303","HIP 58303 3","Ammonia world","No","2050","184440","614799","2"
"HIP 64679","HIP 64679 A 5","High metal content world","Yes","512","153923","513076","1"
"HIP 64679","HIP 64679 B 5","Water world","Yes","3436","258823","862743","0"
"HIP 64679","HIP 64679 B 4","High metal content world","Yes","3627","155501","518336","0"
"2 Draconis","2 Draconis AB 3","High metal content world","Yes","2526","155444","518146","1"
"2 Draconis","2 Draconis AB 4","Water world","Yes","3560","253843","846143","0"
"HIP 67529","HIP 67529 1","Metal-rich body","No","20","35947","119823","3"
"Mel 111 Sector LX-U c2-0","Mel 111 Sector LX-U c2-0 C 4","High metal content world","Yes","12180","158118","527059","2"
"HIP 51726","HIP 51726 2","Water world","No","1079","126244","420813","3"
"HIP 51726","HIP 51726 3","Water world","No","1090","116609","388696","0"
"HIP 51726","HIP 51726 5","Ammonia world","No","1708","187733","625776","0"
"Ross 902","Ross 902 1","High metal content world","Yes","306","160185","533949","2"
"Ross 902","Ross 902 2","Water world","Yes","430","263185","877283","0"
"Ross 902","Ross 902 3","High metal content world","Yes","558","154877","516256","0"
"HIP 57908","HIP 57908 5","Ammonia world","No","2299","215549","718496","1"
"HIP 58796","HIP 58796 1","Metal-rich body","No","35","32914","109713","1"
"HIP 59399","HIP 59399 1","High metal content world","Yes","628","169402","564673","1"
"HIP 59660","HIP 59660 7","High metal content world","Yes","2097","189889","632963","2"
"HIP 59660","HIP 59660 8 a","Rocky body","Yes","3871","128652","428839","0"
"HR 4452","HR 4452 A 3","High metal content world","Yes","3494","150368","501226","2"
"HR 4452","HR 4452 A 2","High metal content world","Yes","3496","163532","545106","0"
"HR 4452","HR 4452 A 4","Water world","Yes","4770","254861","849536","0"
"HIP 58586","HIP 58586 C 2 a","Earth-like world","No","124841","264554","881846","2"
"HIP 58422","HIP 58422 8","Water world","No","4214","131001","436669","1"
"HIP 61725","HIP 61725 B 1","High metal content world","Yes","6723","151714","505713","1"
"HIP 61725","HIP 61725 C 6","Water world","Yes","42033","268868","896226","0"
"HIP 61725","HIP 61725 C 5","High metal content world","Yes","42203","161232","537439","0"
"HIP 63992","HIP 63992 4","High metal content world","Yes","482","190587","635289","1"
"HIP 65060","HIP 65060 3","High metal content world","Yes","781","176931","589769","1"
"HIP 65060","HIP 65060 6","Ammonia world","No","2634","177169","590563","0"
"Col 285 Sector DS-Q c6-0","Col 285 Sector DS-Q c6-0 5","Water world","No","244","103521","345069","2"
"43 Ursae Majoris","43 Ursae Majoris 5","High metal content world","Yes","3854","171377","571256","2"
"43 Ursae Majoris","43 Ursae Majoris 6","High metal content world","Yes","5794","161411","538036","0"
"HIP 54837","HIP 54837 8","High metal content world","Yes","1391","168460","561533","1"
"HR 4407","HR 4407 A 1","Metal-rich body","No","180","32137","107123","2"
"42 Ursae Majoris","42 Ursae Majoris B 6","High metal content world","Yes","25044","162858","542859","1"
"42 Ursae Majoris","42 Ursae Majoris B 7","High metal content world","Yes","25044","156129","520429","0"
"42 Ursae Majoris","42 Ursae Majoris B 9","Water world","No","25279","101552","338506","0"
"HIP 53222","HIP 53222 B 6","High metal content world","Yes","7362","146964","489879","1"
"HIP 53222","HIP 53222 B 4","High metal content world","Yes","7554","148821","496069","0"
"HIP 53222","HIP 53222 B 5","High metal content world","Yes","7651","150559","501863","0"
"HIP 49150","HIP 49150 3","Water world","No","1009","92992","309973","1"
"14 Leonis Minoris","14 Leonis Minoris 3","Earth-like world","No","1550","266466","888219","1"
"HIP 39135","HIP 39135 A 1","Metal-rich body","No","12","33720","112399","2"
"HIP 38673","HIP 38673 1","Class II gas giant","No","3567","30467","101556","1"
"HIP 42179","HIP 42179 A 1","Metal-rich body","No","42","33615","112049","2"
"HIP 44620","HIP 44620 2","High metal content world","Yes","1975","186582","621939","1"
"HIP 44620","HIP 44620 5","High metal content world","Yes","3502","180700","602333","0"
"HIP 44620","HIP 44620 6 b","High metal content world","Yes","4730","167208","557359","0"
"HIP 44620","HIP 44620 6 c","Water world","No","4737","104840","349466","0"
"HIP 46387","HIP 46387 4 e","High metal content world","Yes","3676","148069","493563","2"
"HIP 46387","HIP 46387 4 f","High metal content world","Yes","3676","147334","491113","0"
"HIP 46387","HIP 46387 4 c","High metal content world","Yes","3692","154415","514716","0"
"HIP 46387","HIP 46387 4 d","High metal content world","Yes","3692","152676","508919","0"
"HIP 46387","HIP 46387 5","Water world","No","3700","114462","381539","0"
"Wregoe KL-S c18-0","Wregoe KL-S c18-0 1","Metal-rich body","No","8","33879","112929","2"
"HIP 53878","HIP 53878 5","Earth-like world","No","777","262844","876146","2"
"Wregoe RC-P c20-0","Wregoe RC-P c20-0 AB 1","High metal content world","Yes","328","157199","523996","1"
"HIP 51565","HIP 51565 B 3","Earth-like world","No","66831","266697","888989","2"
"HIP 51565","HIP 51565 B 1","High metal content world","Yes","66901","161859","539529","0"
"HIP 51565","HIP 51565 B 2","High metal content world","Yes","66901","159795","532649","0"
"HIP 51565","HIP 51565 B 4","High metal content world","Yes","67400","158154","527179","0"
"HIP 49511","HIP 49511 A 9","High metal content world","Yes","1587","180368","601226","2"
"HIP 47380","HIP 47380 BC 3","High metal content world","Yes","10074","171045","570149","1"
"HIP 47380","HIP 47380 BC 4","Water world","Yes","10139","289259","964196","0"
"HIP 47380","HIP 47380 BC 2","High metal content world","Yes","11064","175891","586303","0"
"HIP 47380","HIP 47380 BC 2 a","Rocky body","Yes","11064","127599","425329","0"
"HIP 46431","HIP 46431 2","High metal content world","Yes","1074","185485","618283","5"
"HIP 46431","HIP 46431 3","High metal content world","Yes","1079","174325","581083","0"
"HIP 42283","HIP 42283 A 1","Metal-rich body","No","102","30565","101883","2"
"3 G. Cancri","3 G. Cancri 1","Metal-rich body","No","294","30713","102376","1"
"Wregoe RF-V c16-0","Wregoe RF-V c16-0 A 1","Water world","Yes","326","260553","868509","1"
"HIP 40361","HIP 40361 1","Metal-rich body","No","177","36432","121439","2"
"HIP 40361","HIP 40361 13 a","Water world","Yes","3907","279383","931276","0"
"HIP 40700","HIP 40700 B 6","High metal content world","Yes","3725","158158","527193","2"
"HIP 40404","HIP 40404 B 1","Metal-rich body","No","114222","32348","107826","1"
"HIP 40565","HIP 40565 3","High metal content world","Yes","1364","159403","531343","1"
"28 Cancri","28 Cancri A 1","Metal-rich body","No","187","34824","116079","1"
"28 Cancri","28 Cancri B 5","High metal content world","Yes","105184","179500","598333","0"
"28 Cancri","28 Cancri B 4","High metal content world","Yes","108775","184797","615989","0"
"HIP 39833","HIP 39833 1","Metal-rich body","No","15","34185","113949","2"
"HIP 39833","HIP 39833 3","Metal-rich body","No","89","36216","120719","0"
"22 Phi-1 Cancri","22 Phi-1 Cancri B 3","Water world","No","27582","99880","332933","1"
"HIP 36325","HIP 36325 6","High metal content world","Yes","3055","170712","569039","2"
"HIP 36325","HIP 36325 7","High metal content world","Yes","3061","167352","557839","0"
"HIP 34810","HIP 34810 1","High metal content world","Yes","754","180346","601153","2"
"30 Geminorum","30 Geminorum 1","Metal-rich body","No","269","31876","106253","1"
"Wregoe WL-U c16-0","Wregoe WL-U c16-0 1","High metal content world","Yes","170","171929","573096","1"
"Wregoe WL-U c16-0","Wregoe WL-U c16-0 2","Water world","Yes","171","278479","928263","0"
"HIP 29187","HIP 29187 1","High metal content world","Yes","661","168121","560403","2"
"HIP 29187","HIP 29187 2","High metal content world","Yes","914","174223","580743","0"
"HIP 29344","HIP 29344 AB 1","Water world","No","8635","164687","548956","2"
"HIP 28272","HIP 28272 4","High metal content world","Yes","2428","175004","583346","2"
"HIP 35381","HIP 35381 A 4","Earth-like world","No","1156","290990","969966","3"
"HIP 35381","HIP 35381 A 6","Ammonia world","No","2108","156844","522813","0"
"HIP 33599","HIP 33599 A 5","High metal content world","Yes","1679","183975","613249","1"
"HIP 33599","HIP 33599 A 6","Water world","No","2266","107044","356813","0"
"HIP 33599","HIP 33599 A 8","Water world","No","3686","104739","349129","0"
"Wregoe JJ-Y c14-0","Wregoe JJ-Y c14-0 1","High metal content world","Yes","262","148626","495419","1"
"Wregoe LY-Z c13-0","Wregoe LY-Z c13-0 A 1","Water world","No","278","93944","313146","3"
"HIP 36384","HIP 36384 C 1","Metal-rich body","No","451","32945","109816","2"
"Wregoe MO-Y c14-0","Wregoe MO-Y c14-0 A 1","High metal content world","Yes","268","163929","546429","1"
"Wregoe MO-Y c14-0","Wregoe MO-Y c14-0 A 2","Water world","No","378","95006","316686","0"
"Wregoe NJ-Y c14-0","Wregoe NJ-Y c14-0 A 1","Metal-rich body","No","12","32475","108249","1"
"HIP 39280","HIP 39280 6","High metal content world","Yes","2094","181755","605849","1"
"HIP 39280","HIP 39280 7","High metal content world","Yes","3693","176923","589743","0"
"HIP 41379","HIP 41379 A 4","Earth-like world","No","2110","259776","865919","2"
"HIP 41379","HIP 41379 A 5","Water world","Yes","2901","258721","862403","0"
"HIP 41538","HIP 41538 D 3","Ammonia world","No","15511","142564","475213","1"
"Wregoe UF-V c16-0","Wregoe UF-V c16-0 2","Water world","No","319","95729","319096","1"
"HR 3596","HR 3596 A 4 a","Rocky body","Yes","5044","134577","448589","2"
"Wregoe EN-R c18-0","Wregoe EN-R c18-0 A 2","Class II gas giant","No","5192","30504","101679","2"
"HIP 42050","HIP 42050 1","Metal-rich body","No","58","34522","115073","1"
"Wregoe GI-R c18-0","Wregoe GI-R c18-0 A 1","Water world","Yes","193","258477","861589","1"
"HIP 45543","HIP 45543 B 5","High metal content world","Yes","7610","170688","568959","2"
"HIP 45543","HIP 45543 B 3","High metal content world","Yes","7629","166032","553439","0"
"HIP 45543","HIP 45543 B 4","Water world","Yes","8292","283828","946093","0"
"Wregoe SV-L c21-0","Wregoe SV-L c21-0 1","High metal content world","Yes","257","155503","518343","2"
"Col 285 Sector KH-K c9-0","Col 285 Sector KH-K c9-0 A 1","Metal-rich body","No","23","30673","102243","3"
"HIP 55374","HIP 55374 B 2","High metal content world","Yes","8969","169546","565153","1"
"HIP 55374","HIP 55374 B 3","High metal content world","Yes","9156","172304","574346","0"
